code;name;account_type;companies;cod_nat_odoo_atual;cod_nat_odoo_atual_label;cod_nat_esperado;cod_nat_esperado_label;acao_solicitada
2310100001;CAPITAL SOCIAL;equity;FB,SC,CD;02;Passivo;03;PL;Corrigir l10n_br_cod_nat de 02 para 03
2330100001;RESERVA DE CAPITAL;equity;FB,SC,CD;02;Passivo;03;PL;Corrigir l10n_br_cod_nat de 02 para 03
2330200001;RESERVA DE LUCRO;equity;FB,SC,CD;02;Passivo;03;PL;Corrigir l10n_br_cod_nat de 02 para 03
2330300001;RESERVA DE INCENTIVOS FISCAIS;equity;FB,SC,CD;02;Passivo;03;PL;Corrigir l10n_br_cod_nat de 02 para 03
2340100001;LUCROS ACUMULADOS;equity;FB,SC,CD;02;Passivo;03;PL;Corrigir l10n_br_cod_nat de 02 para 03
2340100002;(-) PREJUIZOS ACUMULADOS;equity;FB,SC,CD;02;Passivo;03;PL;Corrigir l10n_br_cod_nat de 02 para 03
2370100001;APURACAO RESULTADO DO EXERCICIO;equity_unaffected;FB,SC,CD;02;Passivo;03;PL;Corrigir l10n_br_cod_nat de 02 para 03
3102010001;( - ) DEVOLUCAO PRODUCAO;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3102010002;ICMS NORMAL S/DEVOL PRODUCAO;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3102010003;PIS S/DEVOL - PRODUCAO;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3102010004;COFINS S/DEVOL PRODUCAO;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3102020001;( - ) DEVOLUCAO REVENDA;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3102020002;ICMS NORMAL S/DEVOL MERCADORIA;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3102020003;PIS S/DEVOL - MERCADORIA;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3102020004;COFINS S/DEVOL MERCADORIA;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3102030001;( - ) CANCELAMENTO SERVICO;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3102030002;ISS S/CANC SERVICO PRESTADO;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3102030003;PIS S/CANC SERVICO PRESTADO;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3102030004;COFINS S/CANC SERVICO PRESTADO;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3103010001;( - ) DESCONTO PRODUCAO;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3103020001;( - ) DESCONTO REVENDA;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3103030001;( - ) DESCONTO SERVICO;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3104010001;( - ) ICMS NORMAL S/VENDAS PRODUCAO;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3104010002;( - ) PIS S/VENDAS - PRODUCAO;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3104010003;( - ) COFINS S/VENDAS PRODUCAO;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3104010004;( - ) ICMS ST/ FECP S/VENDAS PRODUCAO;liability_current;FB,SC,CD;04;Receita;02;Passivo;Corrigir l10n_br_cod_nat de 04 para 02
3104020001;( - ) ICMS NORMAL S/VENDAS MERCADORIA;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3104020002;( - ) PIS S/VENDAS - MERCADORIA;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3104020003;( - ) COFINS S/VENDAS MERCADORIA;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3104030001;( - ) ISS S/ SERVICOS PRESTADOS;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3104030002;( - ) PIS S/ SERVICOS PRESTADOS;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3104030003;( - ) COFINS S/ SERVICOS PRESTADOS;expense_direct_cost;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
