lf_move_id,lf_nome,data,valor_insumos_5902,chave,fb_move_id,fb_nome,fb_data,lf_periodo,fb_periodo
164294,VND/2025/00042,2025-01-27,20764.83,35250118467441000163550010000111851001642944,165303,ENTSI/2025/01/0045,2025-01-28,FECHADO,FECHADO
164368,VND/2025/00043,2025-01-27,76137.7,35250118467441000163550010000111861001643689,165284,ENTSI/2025/01/0044,2025-01-28,FECHADO,FECHADO
165391,VND/2025/00045,2025-01-28,3708.75,35250118467441000163550010000111921001653916,166605,ENTSI/2025/01/0046,2025-01-29,FECHADO,FECHADO
165149,VND/2025/00044,2025-01-28,58487.61,35250118467441000163550010000111901001651498,166627,ENTSI/2025/01/0047,2025-01-29,FECHADO,FECHADO
167117,VND/2025/00046,2025-01-30,53665.45,35250118467441000163550010000111941001671170,169351,ENTSI/2025/02/0004,2025-02-03,FECHADO,FECHADO
168446,VND/2025/00047,2025-01-31,5847.81,35250118467441000163550010000111961001684462,169210,ENTSI/2025/02/0002,2025-02-03,FECHADO,FECHADO
168686,VND/2025/00052,2025-01-31,7061.53,35250118467441000163550010000112011001686866,170970,ENTSI/2025/02/0006,2025-02-04,FECHADO,FECHADO
168684,VND/2025/00051,2025-01-31,6289.34,35250118467441000163550010000112001001686842,169196,ENTSI/2025/02/0001,2025-02-03,FECHADO,FECHADO
168509,VND/2025/00049,2025-01-31,18669.48,35250118467441000163550010000111981001685099,168924,ENTSI/2025/01/0049,2025-01-31,FECHADO,FECHADO
168473,VND/2025/00048,2025-01-31,5578.18,35250118467441000163550010000111971001684737,169220,ENTSI/2025/02/0003,2025-02-03,FECHADO,FECHADO
168682,VND/2025/00050,2025-01-31,13792.03,35250118467441000163550010000111991001686823,168913,ENTSI/2025/01/0048,2025-01-31,FECHADO,FECHADO
170113,VND/2025/00053,2025-02-03,20191.41,35250218467441000163550010000112061001701130,170745,ENTSI/2025/02/0005,2025-02-04,FECHADO,FECHADO
171569,VND/2025/00057,2025-02-04,79464.78,35250218467441000163550010000112151001715695,172154,ENTSI/2025/02/0008,2025-02-05,FECHADO,FECHADO
171117,VND/2025/00055,2025-02-04,33963.58,35250218467441000163550010000112101001711170,172310,ENTSI/2025/02/0009,2025-02-05,FECHADO,FECHADO
171134,VND/2025/00056,2025-02-04,35125.97,35250218467441000163550010000112111001711348,172323,ENTSI/2025/02/0010,2025-02-05,FECHADO,FECHADO
170574,VND/2025/00054,2025-02-04,23556.64,35250218467441000163550010000112081001705741,171050,ENTSI/2025/02/0007,2025-02-04,FECHADO,FECHADO
172044,VND/2025/00058,2025-02-05,20433.63,35250218467441000163550010000112161001720440,173123,ENTSI/2025/02/0015,2025-02-06,FECHADO,FECHADO
172299,VND/2025/00060,2025-02-05,14037.81,35250218467441000163550010000112191001722992,174842,ENTSI/2025/02/0022,2025-02-10,FECHADO,FECHADO
172078,VND/2025/00059,2025-02-05,62294.48,35250218467441000163550010000112171001720782,173008,ENTSI/2025/02/0011,2025-02-06,FECHADO,FECHADO
172985,VND/2025/00065,2025-02-06,21141.67,35250218467441000163550010000112261001729851,173238,ENTSI/2025/02/0016,2025-02-06,FECHADO,FECHADO
172773,VND/2025/00061,2025-02-06,3952.68,35250218467441000163550010000112201001727731,173059,ENTSI/2025/02/0013,2025-02-06,FECHADO,FECHADO
172789,VND/2025/00063,2025-02-06,3253.17,35250218467441000163550010000112231001727890,173105,ENTSI/2025/02/0014,2025-02-06,FECHADO,FECHADO
172785,VND/2025/00062,2025-02-06,83059.31,35250218467441000163550010000112211001727852,173022,ENTSI/2025/02/0012,2025-02-06,FECHADO,FECHADO
173206,VND/2025/00066,2025-02-06,96902.52,35250218467441000163550010000112271001732060,173297,ENTSI/2025/02/0018,2025-02-06,FECHADO,FECHADO
172968,VND/2025/00064,2025-02-06,69216.09,35250218467441000163550010000112241001729687,173249,ENTSI/2025/02/0017,2025-02-06,FECHADO,FECHADO
173656,VND/2025/00067,2025-02-06,83613.03,35250218467441000163550010000112301001736567,173962,ENTSI/2025/02/0019,2025-02-07,FECHADO,FECHADO
174434,VND/2025/00069,2025-02-07,18332.32,35250218467441000163550010000112351001744345,174734,ENTSI/2025/02/0021,2025-02-10,FECHADO,FECHADO
173968,VND/2025/00068,2025-02-07,19813.56,35250218467441000163550010000112311001739687,174328,ENTSI/2025/02/0020,2025-02-07,FECHADO,FECHADO
175248,VND/2025/00070,2025-02-10,19742.68,35250218467441000163550010000112371001752482,175698,ENTSI/2025/02/0023,2025-02-11,FECHADO,FECHADO
175648,VND/2025/00071,2025-02-11,19742.5,35250218467441000163550010000112391001756482,175982,ENTSI/2025/02/0024,2025-02-11,FECHADO,FECHADO
175943,VND/2025/00072,2025-02-11,19742.5,35250218467441000163550010000112411001759439,177027,ENTSI/2025/02/0025,2025-02-12,FECHADO,FECHADO
177085,VND/2025/00076,2025-02-12,1647.2,35250218467441000163550010000112491001770856,177912,ENTSI/2025/02/0040,2025-02-13,FECHADO,FECHADO
176755,VND/2025/00074,2025-02-12,18216.71,35250218467441000163550010000112451001767554,177870,ENTSI/2025/02/0037,2025-02-13,FECHADO,FECHADO
176559,VND/2025/00073,2025-02-12,19742.5,35250218467441000163550010000112431001765590,177082,ENTSI/2025/02/0026,2025-02-12,FECHADO,FECHADO
177041,VND/2025/00075,2025-02-12,6232.19,35250218467441000163550010000112481001770417,177923,ENTSI/2025/02/0041,2025-02-13,FECHADO,FECHADO
177668,VND/2025/00079,2025-02-13,96902.52,35250218467441000163550010000112541001776684,177934,ENTSI/2025/02/0042,2025-02-13,FECHADO,FECHADO
177321,VND/2025/00078,2025-02-13,69216.09,35250218467441000163550010000112521001773214,177902,ENTSI/2025/02/0039,2025-02-13,FECHADO,FECHADO
177303,VND/2025/00077,2025-02-13,20541.63,35250218467441000163550010000112501001773031,177890,ENTSI/2025/02/0038,2025-02-13,FECHADO,FECHADO
178366,VND/2025/00083,2025-02-14,39811.01,35250218467441000163550010000112601001783661,178977,ENTSI/2025/02/0072,2025-02-17,FECHADO,FECHADO
177975,VND/2025/00080,2025-02-14,65409.22,35250218467441000163550010000112561001779750,179009,ENTSI/2025/02/0073,2025-02-17,FECHADO,FECHADO
