cod	nome	lote_origem	qty	reserved_no_quant	source
210003013	FRASCO 1LT 38MM 45G - STRUMPF	40372	1044.0	0	livre
4729697	OL. MIS. AZEITE DE OLIVA - PET 24X200 ML - CASA BL	0312/24	1359.0	0	livre
105000026	CONDIMENTO - BBQ NG - ST 2176	777981	800.0	0	livre
3859701	MAIONESE ALHO E ERVAS	INV-3859701-20260519	1369.76	0	livre
210081852	ROTULO RELISH DE PEPINO PET 200 GR - BOCCANEIRA	238/25	1450.0	0	livre
4860146	MOLHO INGLES - PET 12X150 ML - CAMPO BELO	114/26	1650.083	0	livre
210030442	ROTULO VERSO - MOLHO DE SALADA PARMESAO PET 240 ML	13203	1786.0	0	livre
210010357	ROTULO MAIONESE ORIGINAL PET 240G - STRUMPF	LF/Estoque - 27122024	612.0	0	livre
210010357	ROTULO MAIONESE ORIGINAL PET 240G - STRUMPF	20079	1318.0	0	livre
210803107	ROTULO KETCHUP RUSTICO PEDACUDO VIDRO 360 GR - STR	LF/Estoque - 19293	1000.0	0	livre
210803107	ROTULO KETCHUP RUSTICO PEDACUDO VIDRO 360 GR - STR	13203	1000.0	0	livre
209833101	SELO PRETO KETCHUP RUSTICO - STRUMPF	20504	1000.0	0	livre
209833101	SELO PRETO KETCHUP RUSTICO - STRUMPF	13201	1000.0	0	livre
207032727	ROTULO - PEPINO VD 200 G - CAMPO BELO	193-132/25	200.0	0	livre
207032727	ROTULO - PEPINO VD 200 G - CAMPO BELO	438-317/24	1800.0	0	livre
210831105	ROTULO KETCHUP DEFUMADO PET 470 GR - STRUMPF	216/25	2076.0	0	livre
201030023	CAIXA DE PAPELAO - 415 X 155 X 150 - CAMPO BELO	207-124/26	260.0	0	livre
201030023	CAIXA DE PAPELAO - 415 X 155 X 150 - CAMPO BELO	0108/24	1915.0	0	livre
201030023	CAIXA DE PAPELAO - 415 X 155 X 150 - CAMPO BELO	ME 188-113/26	18.0	0	livre
4830176	KETCHUP   - PET 12X200 G - CAMPO BELO	124/26	2225.9993	0	livre
209831000	POTE DE VIDRO 360G - 73x112	0412/24	104.0	0	livre
209831000	POTE DE VIDRO 360G - 73x112	13201	2187.0	0	livre
206000309	VIDRO 200 GR – SPECK FOODS	2602/01	2372.0	0	livre
207381220	ROTULO 240PET - STRUMPF	25250	376.0	0	livre
207381220	ROTULO 240PET - STRUMPF	13211	2000.0	0	livre
