34	17	LOTE_0E7E5BD0	04.657.087/0001-25	SUPER GONCALVES	VCD2519532	\N	\N	135978	0	275.83	3103.62	SP	Guarulhos	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
394	195	LOTE_A67241D4	06.057.223/0512-48	REDE ASSAI LJ 282	VCD2519663	1948169	25/06/2025	\N	0	116.80000000000001	1880.51	SP	Cotia	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	NF_NAO_PREENCHIDA	cancelado	0.18653061224489795
16	9	LOTE_AB9D68C9	09.317.318/0001-75	FORTALI	VCD2519356	\N	\N	136041	0	3471	51328.05	CE	Fortaleza	\N	FRETE PESO	CAPITAL	0.98	0	0	0	\N	0.2	0	0	0	0	0	0	f	0.07	\N	ativo	\N
17	9	LOTE_9DA82F79	09.317.318/0001-75	FORTALI	VCD2519357	\N	\N	136040	0	3824	46532	CE	Fortaleza	\N	FRETE PESO	CAPITAL	0.98	0	0	0	\N	0.2	0	0	0	0	0	0	f	0.07	\N	ativo	\N
33	16	LOTE_4ED17518	22.914.613/0001-77	Empório Mega 100 Comercio de Alimentos S/A	56451	\N	\N	3516	0	3366	45671.52	SP	São Paulo	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
5	5	LOTE_87BE98BD	09.182.947/0010-26	MERCANTIL RODRIGUES	VCD2519516	\N	\N	136034	0	1098.58	12910.68	BA	Salvador	\N	FRETE PESO	CAPITAL	0.94	0	83.84	0	\N	0.35	3.5	0	0	0	0	0	f	0.07	\N	ativo	\N
12	7	LOTE_638608FB	23.646.626/0001-75	PLASTMAR COMERCIAL L	VCD2519517	\N	\N	136039	0	297	3163.35	ES	Marataízes	\N	FRETE PESO	INTERIOR	0.8	0	219.45	0	\N	0.5	0	0	0	0	139.45	0	f	0.07	\N	ativo	\N
395	195	LOTE_87399149	06.057.223/0460-82	REDE ASSAI LJ 233	VCD2519655	1948141	25/06/2025	\N	0	257.4	2610.08	SP	Itapevi	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	NF_NAO_PREENCHIDA	cancelado	0.37142857142857144
13	7	LOTE_DAF1A192	09.408.549/0001-94	DIST PARATY	VCD2519545	\N	\N	136037	0	1782.95	21878.59	ES	Linhares	\N	FRETE PESO	INTERIOR	0.8	0	219.45	0	\N	0.5	0	0	0	0	139.45	0	f	0.07	\N	ativo	\N
20	11	LOTE_30BC2F71	29.884.092/0001-00	REDE DILETTARE	VCD2519566	\N	\N	136053	0	443	5423.19	PR	Foz do Iguaçu	\N	FRETE PESO	INTERIOR	0.9	0	0	0	\N	0.2	3.5	0	0	0	0	0	f	0.12	\N	ativo	\N
