1	administrador	Acesso total ao sistema	10	t	2025-07-21 22:59:07.114718	\N
2	gerente_comercial	Gestão comercial e equipes	8	t	2025-07-21 22:59:07.118333	\N
3	financeiro	Módulos financeiros e faturamento	7	t	2025-07-21 22:59:07.120955	\N
4	logistica	Embarques, portaria e operações	6	t	2025-07-21 22:59:07.123323	\N
5	portaria	Controle de portaria e veículos	4	t	2025-07-21 22:59:07.125714	\N
6	vendedor	Acesso restrito a vendas próprias	2	t	2025-07-21 22:59:07.127977	\N
\.


