24	4230162	AZEITONA PRETA FATIADA - BD 6X2 KG - CAMPO BELO	2025-07-22	FATURAMENTO	VENDA	-1.000	Baixa automática NF 137167 - Sem Separação	2025-07-22 11:14:09.957793	2025-07-22 11:14:09.957809	Sincronização Odoo	\N	t
25	4320162	AZEITONA VERDE FATIADA - BD 6X2 KG - CAMPO BELO	2025-07-22	FATURAMENTO	VENDA	-1.000	Baixa automática NF 137167 - Sem Separação	2025-07-22 11:14:09.959868	2025-07-22 11:14:09.95988	Sincronização Odoo	\N	t
26	4360162	AZEITONA VERDE SEM CAROCO - BD 6X2 KG - CAMPO BELO	2025-07-22	FATURAMENTO	VENDA	-1.000	Baixa automática NF 137167 - Sem Separação	2025-07-22 11:14:09.961728	2025-07-22 11:14:09.961742	Sincronização Odoo	\N	t
27	4510161	COGUMELO FATIADO - BD 6X1,01 KG - CAMPO BELO	2025-07-22	FATURAMENTO	VENDA	-2.000	Baixa automática NF 137167 - Sem Separação	2025-07-22 11:14:09.96367	2025-07-22 11:14:09.96368	Sincronização Odoo	\N	t
28	101002106	COGUMELO - BIDOLUX	2025-07-22	FATURAMENTO	VENDA	-1608.000	Baixa automática NF 91544 - Sem Separação	2025-07-22 11:14:10.782985	2025-07-22 11:14:10.783002	Sincronização Odoo	\N	t
29	4320162	AZEITONA VERDE FATIADA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-10.000	Baixa automática NF 136884 - lote separação LOTE_4B3A51E8	2025-07-24 23:55:10.555462	2025-07-24 23:55:10.555487	Sincronização Odoo	\N	t
30	4330162	AZEITONA VERDE GORDAL - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-3.000	Baixa automática NF 136884 - lote separação LOTE_4B3A51E8	2025-07-24 23:55:10.559013	2025-07-24 23:55:10.559026	Sincronização Odoo	\N	t
31	4520162	COGUMELO INTEIRO - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-10.000	Baixa automática NF 136884 - lote separação LOTE_4B3A51E8	2025-07-24 23:55:10.56106	2025-07-24 23:55:10.561073	Sincronização Odoo	\N	t
32	4759099	OLEO DE SOJA MISTO - GL 4X5,02 L - ST ISABEL	2025-07-24	FATURAMENTO	VENDA	-10.000	Baixa automática NF 136884 - lote separação LOTE_4B3A51E8	2025-07-24 23:55:10.563218	2025-07-24 23:55:10.563231	Sincronização Odoo	\N	t
33	4320162	AZEITONA VERDE FATIADA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-2.000	Baixa automática NF 136883 - lote separação LOTE_E035A938	2025-07-24 23:55:10.573988	2025-07-24 23:55:10.574002	Sincronização Odoo	\N	t
34	4310166	AZEITONA VERDE  INTEIRA GRAUDA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-3.000	Baixa automática NF 136883 - lote separação LOTE_E035A938	2025-07-24 23:55:10.576137	2025-07-24 23:55:10.576151	Sincronização Odoo	\N	t
35	4520162	COGUMELO INTEIRO - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-10.000	Baixa automática NF 136883 - lote separação LOTE_E035A938	2025-07-24 23:55:10.578005	2025-07-24 23:55:10.578018	Sincronização Odoo	\N	t
36	4759099	OLEO DE SOJA MISTO - GL 4X5,02 L - ST ISABEL	2025-07-24	FATURAMENTO	VENDA	-6.000	Baixa automática NF 136883 - lote separação LOTE_E035A938	2025-07-24 23:55:10.579942	2025-07-24 23:55:10.579954	Sincronização Odoo	\N	t
37	4040161	ALCAPARRA - BD 6X1,01 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-1.000	Baixa automática NF 136881 - lote separação LOTE_FA3AAA9A	2025-07-24 23:55:10.588747	2025-07-24 23:55:10.588759	Sincronização Odoo	\N	t
38	4210165	AZEITONA PRETA  INTEIRA MEDIA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-1.000	Baixa automática NF 136881 - lote separação LOTE_FA3AAA9A	2025-07-24 23:55:10.590664	2025-07-24 23:55:10.590676	Sincronização Odoo	\N	t
39	4320162	AZEITONA VERDE FATIADA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-5.000	Baixa automática NF 136881 - lote separação LOTE_FA3AAA9A	2025-07-24 23:55:10.592655	2025-07-24 23:55:10.592668	Sincronização Odoo	\N	t
40	4310164	AZEITONA VERDE  INTEIRA MIUDA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-3.000	Baixa automática NF 136881 - lote separação LOTE_FA3AAA9A	2025-07-24 23:55:10.594559	2025-07-24 23:55:10.594571	Sincronização Odoo	\N	t
41	4360162	AZEITONA VERDE SEM CAROCO - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-2.000	Baixa automática NF 136881 - lote separação LOTE_FA3AAA9A	2025-07-24 23:55:10.59659	2025-07-24 23:55:10.596602	Sincronização Odoo	\N	t
42	4510162	COGUMELO FATIADO - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-2.000	Baixa automática NF 136881 - lote separação LOTE_FA3AAA9A	2025-07-24 23:55:10.598563	2025-07-24 23:55:10.598576	Sincronização Odoo	\N	t
43	4310165	AZEITONA VERDE  INTEIRA MEDIA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-20.000	Baixa automática NF 136882 - lote separação LOTE_C871F15C	2025-07-24 23:55:10.607762	2025-07-24 23:55:10.607781	Sincronização Odoo	\N	t
44	4510162	COGUMELO FATIADO - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-3.000	Baixa automática NF 136882 - lote separação LOTE_C871F15C	2025-07-24 23:55:10.609798	2025-07-24 23:55:10.609812	Sincronização Odoo	\N	t
45	4100161	TOMATE SECO - BD 6X1,4 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-2.000	Baixa automática NF 136882 - lote separação LOTE_C871F15C	2025-07-24 23:55:10.611694	2025-07-24 23:55:10.611708	Sincronização Odoo	\N	t
46	4320162	AZEITONA VERDE FATIADA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-7.000	Baixa automática NF 136875 - lote separação LOTE_D7C4CB48	2025-07-24 23:55:10.620804	2025-07-24 23:55:10.620818	Sincronização Odoo	\N	t
47	4100161	TOMATE SECO - BD 6X1,4 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-4.000	Baixa automática NF 136875 - lote separação LOTE_D7C4CB48	2025-07-24 23:55:10.622698	2025-07-24 23:55:10.622713	Sincronização Odoo	\N	t
48	4320162	AZEITONA VERDE FATIADA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-10.000	Baixa automática NF 136876 - lote separação LOTE_D5E425AF	2025-07-24 23:55:10.635139	2025-07-24 23:55:10.635161	Sincronização Odoo	\N	t
49	4310164	AZEITONA VERDE  INTEIRA MIUDA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-14.000	Baixa automática NF 136876 - lote separação LOTE_D5E425AF	2025-07-24 23:55:10.637393	2025-07-24 23:55:10.637408	Sincronização Odoo	\N	t
50	4360162	AZEITONA VERDE SEM CAROCO - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-2.000	Baixa automática NF 136876 - lote separação LOTE_D5E425AF	2025-07-24 23:55:10.639442	2025-07-24 23:55:10.639456	Sincronização Odoo	\N	t
