5	3/4	4500
6	TOCO	6500
7	TRUCK	14500
4	IVECO	2800
9	BI-TRUCK	23000
10	CABOTAGEM	27000
8	CARRETA	32000
2	VAN/HR	1750
3	MASTER	2100
1	FIORINO	674
\.


