1	2275	Sistema	2025-06-16 20:08:41.373381	ENTREGUE	info	\N
2	2276	Sistema	2025-06-16 20:08:41.382844	COMPROVANTE NO ODOO	info	\N
3	2285	Sistema	2025-06-16 20:08:41.388389	ENTREGUE	info	\N
4	2278	Sistema	2025-06-16 20:08:41.390853	ENTREGUE	info	\N
5	2282	Sistema	2025-06-16 20:08:41.393118	NO CLIENTE	info	\N
6	2283	Sistema	2025-06-16 20:08:41.395165	NO CLIENTE	info	\N
7	2281	Sistema	2025-06-16 20:08:41.397131	AGUARDANDO CANHOTO	info	\N
8	2279	Sistema	2025-06-16 20:08:41.399961	NO CLIENTE	info	\N
9	2266	Sistema	2025-06-16 20:08:41.402103	REDESPACHO, ENTREGUE	info	\N
10	2330	Sistema	2025-06-16 20:08:41.405648	ENTREGUE COMPROVANTE NO ODOO	info	\N
11	2334	Sistema	2025-06-16 20:08:41.407442	ENTREGUE COMPROVANTE NO ODOO	info	\N
12	2317	Sistema	2025-06-16 20:08:41.410861	AGUARDANDO CANHOTO	info	\N
13	2324	Sistema	2025-06-16 20:08:41.414565	AGUARDANDO CANHOTO	info	\N
14	2318	Sistema	2025-06-16 20:08:41.417123	ENTREGUE COMPROVANTE NO ODOO	info	\N
15	2325	Sistema	2025-06-16 20:08:41.421644	ENTREGUE COMPROVANTE NO ODOO	info	\N
16	2340	Sistema	2025-06-16 20:08:41.423387	ENTREGUE COMPROVANTE NO ODOO	info	\N
17	2310	Sistema	2025-06-16 20:08:41.426122	COBRADO	info	\N
18	2323	Sistema	2025-06-16 20:08:41.438046	COBRADO	info	\N
19	2335	Sistema	2025-06-16 20:08:41.439773	COBRADO	info	\N
20	2326	Sistema	2025-06-16 20:08:41.442637	EM ROTA	info	\N
21	2332	Sistema	2025-06-16 20:08:41.44529	EM ROTA	info	\N
22	2337	Sistema	2025-06-16 20:08:41.449387	EM ROTA	info	\N
23	2321	Sistema	2025-06-16 20:08:41.452055	CONFIRMADO COM CLIENTE	info	\N
24	2328	Sistema	2025-06-16 20:08:41.454584	CONFIRMADO COM CLIENTE	info	\N
25	2320	Sistema	2025-06-16 20:08:41.457585	CONFIRMADO PELO CLIENTE	info	\N
26	2331	Sistema	2025-06-16 20:08:41.46208	CONFIRMADO PELO CLIENTE	info	\N
27	2349	Sistema	2025-06-16 20:08:41.465562	ENTREGUE	info	\N
28	2350	Sistema	2025-06-16 20:08:41.47032	ENTREGUE	info	\N
29	2351	Sistema	2025-06-16 20:08:41.472282	ENTREGUE	info	\N
30	2315	Sistema	2025-06-16 20:08:41.473866	AGUARDANDO CANHOTO	info	\N
31	2313	Sistema	2025-06-16 20:08:41.476224	AGUARDANDO CANHOTO	info	\N
32	2357	Sistema	2025-06-16 20:08:41.477861	AGUARDANDO CANHOTO	info	\N
33	2312	Sistema	2025-06-16 20:08:41.479324	TROCA DE TRANSPORTADORA AGUARDANDO PRAZO DE ENTREGA	info	\N
34	2352	Sistema	2025-06-16 20:08:41.480821	REIS	info	\N
35	2373	Sistema	2025-06-16 20:08:41.482383	ENTREGUE COMPROVANTE NO ODOO	info	\N
36	2374	Sistema	2025-06-16 20:08:41.483975	ENTREGUE	info	\N
37	2375	Sistema	2025-06-16 20:08:41.485508	ENTREGUE	info	\N
38	2396	Sistema	2025-06-16 20:08:41.487021	ENTREGUE	info	\N
39	2382	Sistema	2025-06-16 20:08:41.488489	ENTREGA NOTURNA	info	\N
40	2383	Sistema	2025-06-16 20:08:41.511157	ENTREGA NOTURNA	info	\N
41	2376	Sistema	2025-06-16 20:08:41.513281	NO CLIENTE	info	\N
42	2377	Sistema	2025-06-16 20:08:41.515327	NO CLIENTE	info	\N
43	2394	Sistema	2025-06-16 20:08:41.51735	NO CLIENTE	info	\N
44	2397	Sistema	2025-06-16 20:08:41.519148	NO CLIENTE	info	\N
45	2391	Sistema	2025-06-16 20:08:41.520969	ENTREGUE	info	\N
46	2399	Sistema	2025-06-16 20:08:41.524442	ENTREGUE COMPROVANTE NO ODOO	info	\N
47	2444	Sistema	2025-06-16 20:08:41.526207	CONFIRMADO PELO CLIENTE	info	\N
48	2442	Sistema	2025-06-16 20:08:41.527806	ENTREGUE COMPROVANTE NO ODOO	info	\N
49	2443	Sistema	2025-06-16 20:08:41.529353	AGUARDANDO CANHOTO	info	\N
50	2445	Sistema	2025-06-16 20:08:41.530866	CONFIRMADO COM CLIENTE	info	\N
51	2423	Sistema	2025-06-16 20:08:41.532446	ENTREGUE	info	\N
52	2424	Sistema	2025-06-16 20:08:41.534294	ENTREGUE	info	\N
53	2461	Sistema	2025-06-16 20:08:41.535837	ENTREGUE	info	\N
54	2463	Sistema	2025-06-16 20:08:41.537526	NO CLIENTE	info	\N
55	2456	Sistema	2025-06-16 20:08:41.539442	NO CLIENTE	info	\N
56	2455	Sistema	2025-06-16 20:08:41.54118	ENTREGUE	info	\N
57	2462	Sistema	2025-06-16 20:08:41.542806	ENTREGUE AGUARDANDO CANHOTO	info	\N
58	2448	Sistema	2025-06-16 20:08:41.544435	ENTREGUE	info	\N
59	2453	Sistema	2025-06-16 20:08:41.546082	ENTREGUE	info	\N
60	2451	Sistema	2025-06-16 20:08:41.54769	ENTREGUE	info	\N
61	2464	Sistema	2025-06-16 20:08:41.54926	no cliente	info	\N
62	2447	Sistema	2025-06-16 20:08:41.550811	NO CLIENTE	info	\N
63	2460	Sistema	2025-06-16 20:08:41.552316	NO CLIENTE	info	\N
64	2428	Sistema	2025-06-16 20:08:41.553844	COBRADO	info	\N
65	2429	Sistema	2025-06-16 20:08:41.612668	COBRADO	info	\N
66	2431	Sistema	2025-06-16 20:08:41.616186	COBRADO	info	\N
67	2425	Sistema	2025-06-16 20:08:41.618538	ENTREGUE	info	\N
68	2426	Sistema	2025-06-16 20:08:41.620574	EM ROTA	info	\N
69	2427	Sistema	2025-06-16 20:08:41.622449	EM ROTA	info	\N
70	2414	Sistema	2025-06-16 20:08:41.624257	ENTREGUE COMPROVANTE NO ODOO	info	\N
71	2480	Sistema	2025-06-16 20:08:41.626068	ENTREGUE COMPROVANTE NO ODOO	info	\N
72	2486	Sistema	2025-06-16 20:08:41.627735	AGUARDANDO CANHOTO	info	\N
73	2491	Sistema	2025-06-16 20:08:41.629957	AGUARDANDO DESCARGA NO CLIENTE	info	\N
74	2494	Sistema	2025-06-16 20:08:41.631797	NO CLIENTE	info	\N
75	2490	Sistema	2025-06-16 20:08:41.633927	NO CLIENTE	info	\N
76	2481	Sistema	2025-06-16 20:08:41.637291	AGUARDANDO CANHOTO	info	\N
77	2484	Sistema	2025-06-16 20:08:41.639209	AGUARDANDO CANHOTO	info	\N
78	2467	Sistema	2025-06-16 20:08:41.641075	ENTREGUE COMPROVANTE NO ODOO	info	\N
79	2469	Sistema	2025-06-16 20:08:41.643458	ENTREGUE	info	\N
