cod,qty_solicitada,cod_status,transf_idx,lot_id_origem,lote_origem_nome,location_id_origem,qty_pretendida,qty_movida,transf_status,tempo_ms_transf
210030218,11000.0,DRY_RUN_OK,1,59097,0312/24,8,8139.0,8139.0,DRY_RUN_OK,56
210030218,11000.0,DRY_RUN_OK,2,59652,13203,8,2861.0,2861.0,DRY_RUN_OK,52
3800000,11773.36,DRY_RUN_OK,1,59066,008/25,8,1463.04,1463.04,DRY_RUN_OK,50
3800000,11773.36,DRY_RUN_OK,2,59608,13212,8,10310.32,10310.32,DRY_RUN_OK,55
210030217,12164.0,DRY_RUN_OK,1,16214,5062895,8,12164.0,12164.0,DRY_RUN_OK,48
105000047,12238.6377,DRY_RUN_OK,1,59622,13221,8,0.27,0.27,DRY_RUN_OK,54
105000047,12238.6377,DRY_RUN_OK,2,59103,20260203,8,1000.0,1000.0,DRY_RUN_OK,44
105000047,12238.6377,DRY_RUN_OK,3,59475,FAT105000047-20260520,8,11238.367699999999,11238.367699999999,DRY_RUN_OK,46
210902852,12938.0,DRY_RUN_OK,1,59679,13203,8,2256.0,2256.0,DRY_RUN_OK,40
210902852,12938.0,DRY_RUN_OK,2,38516,238/25,8,10682.0,10682.0,DRY_RUN_OK,46
207120309,13200.0,DRY_RUN_OK,1,57497,115-076/26,8,13000.0,13000.0,DRY_RUN_OK,47
207120309,13200.0,DRY_RUN_OK,2,15620,24944,8,200.0,200.0,DRY_RUN_OK,46
207120233,13200.0,DRY_RUN_OK,1,15618,24943,8,13200.0,13200.0,DRY_RUN_OK,45
207120433,14000.0,DRY_RUN_OK,1,57483,036-026/26,8,13200.0,13200.0,DRY_RUN_OK,39
207120433,14000.0,DRY_RUN_OK,2,15622,24948,8,800.0,800.0,DRY_RUN_OK,46
210010319,14994.0,DRY_RUN_OK,1,59654,25346,8,14994.0,14994.0,DRY_RUN_OK,52
109000003,15078.898,DRY_RUN_OK,1,58973,MIGRACAO,8,3200.75,3200.75,DRY_RUN_OK,46
109000003,15078.898,DRY_RUN_OK,2,59564,13209,8,11878.148,11878.148,DRY_RUN_OK,44
301000001,16898.1,DRY_RUN_OK,1,57328,139/26,48,8882.4,8882.4,DRY_RUN_OK,48
301000001,16898.1,DRY_RUN_OK,2,57328,139/26,4068,6110.1,6110.1,DRY_RUN_OK,50
301000001,16898.1,DRY_RUN_OK,3,57328,139/26,8,6.0,6.0,DRY_RUN_OK,47
301000001,16898.1,DRY_RUN_OK,4,59114,141/26,8,1069.5,1069.5,DRY_RUN_OK,49
301000001,16898.1,DRY_RUN_OK,5,59114,141/26,4068,158.1,158.1,DRY_RUN_OK,39
301000001,16898.1,DRY_RUN_OK,6,59247,142/26,8,671.9999999999985,671.9999999999985,DRY_RUN_OK,38
102030307,17100.0,DRY_RUN_OK,1,57509,136/26,8,7590.0,7590.0,DRY_RUN_OK,38
102030307,17100.0,DRY_RUN_OK,2,58994,139/26,8,9510.0,9510.0,DRY_RUN_OK,46
209079922,17330.0,DRY_RUN_OK,1,59645,13201,8,17330.0,17330.0,DRY_RUN_OK,49
209039912,17900.0,DRY_RUN_OK,1,59641,13201,8,4700.0,4700.0,DRY_RUN_OK,45
209039912,17900.0,DRY_RUN_OK,2,27467,25143,8,13200.0,13200.0,DRY_RUN_OK,54
210030208,18988.0,DRY_RUN_OK,1,49560,567736,8,18988.0,18988.0,DRY_RUN_OK,49
209039913,19800.0,DRY_RUN_OK,1,59642,13201,8,4800.0,4800.0,DRY_RUN_OK,47
209039913,19800.0,DRY_RUN_OK,2,27468,25144,8,15000.0,15000.0,DRY_RUN_OK,47
209079923,20880.0,DRY_RUN_OK,1,59646,13201,8,20880.0,20880.0,DRY_RUN_OK,47
210010204,20965.0,DRY_RUN_OK,1,59303,13219,8,256.0,256.0,DRY_RUN_OK,52
210010204,20965.0,DRY_RUN_OK,2,59485,13222,8,704.0,704.0,DRY_RUN_OK,48
210010204,20965.0,DRY_RUN_OK,3,59742,13225,8,896.0,896.0,DRY_RUN_OK,38
210010204,20965.0,DRY_RUN_OK,4,59094,500107704,8,1691.0,1691.0,DRY_RUN_OK,49
210010204,20965.0,DRY_RUN_OK,5,37109,5111312,8,17418.0,17418.0,DRY_RUN_OK,44
210030102,21404.0,DRY_RUN_OK,1,45083,111691,8,21404.0,21404.0,DRY_RUN_OK,46
209079913,21474.0,DRY_RUN_OK,1,59644,13201,8,21474.0,21474.0,DRY_RUN_OK,45
104000011,22140.01,FALHA_SEM_QUANT,0,,,,0,0,(no transfer),0
209079912,22624.0,DRY_RUN_OK,1,59643,13201,8,22624.0,22624.0,DRY_RUN_OK,47
201030051,22993.838,DRY_RUN_OK,1,58035,057-040/26,8,2100.0,2100.0,DRY_RUN_OK,41
201030051,22993.838,DRY_RUN_OK,2,7644,123498,8,20893.838,20893.838,DRY_RUN_OK,39
207030127,24000.0,DRY_RUN_OK,1,57472,008-007/25,8,2000.0,2000.0,DRY_RUN_OK,46
207030127,24000.0,DRY_RUN_OK,2,10050,0309/24,8,22000.0,22000.0,DRY_RUN_OK,47
207030426,24000.0,DRY_RUN_OK,1,18307,0411/24,8,24000.0,24000.0,DRY_RUN_OK,48
207032627,24000.0,DRY_RUN_OK,1,59077,1111/24-2211/24,8,24000.0,24000.0,DRY_RUN_OK,41
210030115,24206.0,DRY_RUN_OK,1,59690,80411,8,22726.0,22726.0,DRY_RUN_OK,47
210030115,24206.0,DRY_RUN_OK,2,26458,80441,8,1480.0,1480.0,DRY_RUN_OK,50
105000017,24771.59945,DRY_RUN_OK,1,59287,13216,8,310.959,310.959,DRY_RUN_OK,46
105000017,24771.59945,DRY_RUN_OK,2,59313,13219,8,96.8192,96.8192,DRY_RUN_OK,44
105000017,24771.59945,DRY_RUN_OK,3,59495,13222,8,266.2528,266.2528,DRY_RUN_OK,43
105000017,24771.59945,DRY_RUN_OK,4,59579,13224,8,869.427,869.427,DRY_RUN_OK,41
105000017,24771.59945,DRY_RUN_OK,5,59752,13225,8,338.8672,338.8672,DRY_RUN_OK,49
105000017,24771.59945,DRY_RUN_OK,6,59818,13229,8,65.0504,65.0504,DRY_RUN_OK,44
105000017,24771.59945,DRY_RUN_OK,7,59084,"AAEA014,CFF003",8,4548.735,4548.735,DRY_RUN_OK,44
105000017,24771.59945,DRY_RUN_OK,8,59464,ACF003,8,18275.48885,18275.48885,DRY_RUN_OK,51
104000015,26521.94889,DRY_RUN_OK,1,43626,MIGRACAO,8,13752.1245,13752.1245,DRY_RUN_OK,44
104000015,26521.94889,DRY_RUN_OK,2,57478,027-098/26,27458,114.096,114.096,DRY_RUN_OK,54
104000015,26521.94889,DRY_RUN_OK,3,57478,027-098/26,8,9.45,9.45,DRY_RUN_OK,54
104000015,26521.94889,DRY_RUN_OK,4,1987,05072024,8,2e-05,2e-05,DRY_RUN_OK,50
104000015,26521.94889,DRY_RUN_OK,5,7218,124099,27458,1e-05,1e-05,DRY_RUN_OK,49
104000015,26521.94889,DRY_RUN_OK,6,7169,124114,8,2e-05,2e-05,DRY_RUN_OK,47
104000015,26521.94889,DRY_RUN_OK,7,59280,13216,8,130.8729,130.8729,DRY_RUN_OK,52
104000015,26521.94889,DRY_RUN_OK,8,59306,13219,8,54.656,54.656,DRY_RUN_OK,50
