cod_produto;descricao;company;qtd_ajuste;tipo_ajuste
4899024;MOLHO DE SALADA ITALIANO - PET 12X240 ML - ST ISABEL;FB;-108.0;NEGATIVO
105000025;GOMA XANTANA M200;FB;-149.6;NEGATIVO
103000011;PEPINO - IND;FB;-156.7;NEGATIVO
210030204;CAIXA DE PAPELAO - 260 X 260 X 305 - LISA;FB;-172.0;NEGATIVO
105000024;ACUCAR CRISTAL;FB;-215.1;NEGATIVO
4850103;MAIONESE - POTE 6X3 KG - CAMPO BELO;FB;-216.5;NEGATIVO
201030051;CANTONEIRA DE PAPELAO - 50 X 50 X 2 X 1160;CD;-243.6;NEGATIVO
104000007;CORANTE - CARAMELO TIPO III;FB;-253.1;NEGATIVO
X104000016;VINAGRE DE ALCOOL TRIPLO;LF;-300.0;NEGATIVO
210639522;ROTULO SWEET PICKLES 1,01KG - RETANGULAR - BY GEMEOS;FB;-342.0;NEGATIVO
201030010;CAIXA DE PAPELAO - 505 X 328 X 150 - CAMPO BELO;FB;-350.0;NEGATIVO
104000009;GOMA GUAR;FB;-399.9;NEGATIVO
210030000;FRASCO VERMELHO 3,3 L - MOLHO;FB;-688.0;NEGATIVO
210030100;TAMPA PLASTICA VERMELHA - GL 3,3 L - MOLHO;FB;-688.0;NEGATIVO
210030333;ROTULO - KETCHUP GL 3,05 KG - CAMPO BELO;FB;-688.0;NEGATIVO
4840176;MOSTARDA - PET 12X200 G - CAMPO BELO;FB;-725.8;NEGATIVO
4830103;KETCHUP - GL 4X3,05 KG - CAMPO BELO;FB;-777.3;NEGATIVO
209079900;ROTULO - OLEO MISTO GL 5,02 L - CASA BLANCA;FB;-804.0;NEGATIVO
201030018;CAIXA DE PAPELAO - 380 X 250 X 130 - CAMPO BELO;FB;-1260.0;NEGATIVO
210030203;CAIXA DE PAPELAO - 320 X 240 X 267 - CAMPO BELO;FB;-1288.0;NEGATIVO
208000010;FITA ADESIVA TRANSPARENTE 48X1200;FB;-1330.8;NEGATIVO
105000022;MOLHO SHOYU TRADICIONAL;FB;-3577.1;NEGATIVO
202030018;BALDE - 2,0 L - CAMPO BELO;FB;-3707.0;NEGATIVO
210030205;CAIXA DE PAPELAO - 570 X 375 X 175 - LISA;FB;-5540.0;NEGATIVO
103000014;TOMATE SECO;FB;-6856.6;NEGATIVO
104000040;AROMA - HERBAL;FB;-7280.0;NEGATIVO
210030507;BALDE - 3,5 L - CAMPO BELO;FB;-13292.0;NEGATIVO
210030010;FRASCO INCOLOR 1,01 L - MOLHO;FB;-15456.0;NEGATIVO
210030110;TAMPA PLASTICA VERMELHA - PET 1,01 L - MOLHO;FB;-15456.0;NEGATIVO
210030322;ROTULO - MOLHO SHOYU PET 1,01 L - CAMPO BELO;FB;-15456.0;NEGATIVO
4889003;MOLHO BARBECUE - GL 4X3,05 KG - ST ISABEL;FB;-64.0;NEGATIVO
4310150;AZEITONA VERDE INTEIRA POUCH 18X150 GR - CAMPO BELO;FB;-525.0;NEGATIVO
4210176;AZEITONA PRETA INTEIRA - VD 12X200 G - CAMPO BELO;FB;-1.0;NEGATIVO
4350150;AZEITONA VERDE RECHEADA - POUCH 18X170 G - CAMPO BELO;FB;-1.0;NEGATIVO
43109068;AZEITONA VERDE INTEIRA VD 12X500 GR - ST ISABEL;FB;-1.0;NEGATIVO
4810112;MOLHO DE ALHO - PET 12X1,01 L - CAMPO BELO;FB;-0.4;NEGATIVO
105000060;CORANTE VERDE MUSGO;FB;-0.2;NEGATIVO
210030607;TAMPA PLASTICA AZUL - BD 3,5 L - MOLHO;FB;-11332.0;NEGATIVO
4889003;MOLHO BARBECUE - GL 4X3,05 KG - ST ISABEL;LF;-51.0;NEGATIVO
4310150;AZEITONA VERDE INTEIRA POUCH 18X150 GR - CAMPO BELO;CD;-100.0;NEGATIVO
4210176;AZEITONA PRETA INTEIRA - VD 12X200 G - CAMPO BELO;CD;-9.0;NEGATIVO
4350150;AZEITONA VERDE RECHEADA - POUCH 18X170 G - CAMPO BELO;CD;-17.0;NEGATIVO
43109068;AZEITONA VERDE INTEIRA VD 12X500 GR - ST ISABEL;CD;-10.0;NEGATIVO
4810112;MOLHO DE ALHO - PET 12X1,01 L - CAMPO BELO;CD;-11.0;NEGATIVO
105000060;CORANTE VERDE MUSGO;CD;-0.0;NEGATIVO
210030607;TAMPA PLASTICA AZUL - BD 3,5 L - MOLHO;LF;-4824.0;NEGATIVO
